2011, 4, 19, '22.45', '31', '21.9', '1.7875', ''
2011, 4, 20, '22.683333', '30.1', '22.2', '1.3875', ''
2011, 4, 21, '22.620833', '31.6', '22.7', '1.491667', ''
2011, 4, 22, '23.266667', '31.7', '22.2', '1.883333', ''
2011, 4, 23, '23.095833', '29.8', '22.6', '1.225', ''
2011, 4, 24, '22.6375', '30', '22.7', '2.266667', ''
2011, 4, 25, '22.170833', '30.8', '21.7', '1.425', ''
2011, 4, 26, '22.733333', '31.2', '22.9', '1.516667', ''
2011, 4, 27, '22.841667', '31.8', '22.9', '1.475', ''
2011, 4, 28, '22.545833', '29.6', '22.2', '1.7', ''
2011, 4, 29, '22.695833', '32', '22.8', '1.541667', ''
2011, 4, 30, '23.025', '32', '23.1', '1.6125', ''
2011, 5, 1, '22.916667', '32.7', '22.1', '1.395833', ''
2011, 5, 2, '23.275', '30.8', '22.3', '1.425', ''
2011, 5, 3, '23.1375', '32.7', '21.8', '1.3875', ''
2011, 5, 4, '23.233333', '31.3', '23.4', '1.825', ''
2011, 5, 5, '23.479167', '31.3', '23.5', '1.858333', ''
2011, 5, 6, '23.804167', '28.1', '23.7', '1.3375', ''
2011, 5, 7, '23.545833', '28.9', '23.5', '1.166667', ''
2011, 5, 8, '23.270833', '32.7', '23.3', '2.020833', ''
2011, 5, 9, '22.6625', '31.1', '22.8', '1.6875', ''
2011, 5, 10, '22.566667', '31.6', '21.4', '1.508333', ''
2011, 5, 11, '23.4375', '28.5', '23.3', '1.583333', ''
2011, 5, 12, '23.225', '30.7', '23.1', '1.770833', ''
2011, 5, 13, '23.429167', '30.3', '23.5', '1.3', ''
2011, 5, 14, '22.875', '31.4', '22.7', '1.870833', ''
2011, 5, 15, '22.841667', '32', '23', '1.6125', ''
2011, 5, 16, '23.508333', '31.6', '23.8', '1.545833', ''
2011, 5, 17, '23.504167', '30', '23.3', '1.125', ''
2011, 5, 18, '23.3375', '31.6', '22.9', '1.229167', ''
2011, 5, 19, '22.5375', '30.1', '21.8', '1.558333', ''
2011, 5, 20, '23.125', '31.2', '22.1', '1.6375', ''
2011, 5, 21, '22.991667', '30.6', '22.8', '1.891667', ''
2011, 5, 22, '23.066667', '30.3', '22.1', '1.883333', ''
2011, 5, 23, '22.483333', '31.8', '23', '1.625', ''
2011, 5, 24, '23.191667', '29.9', '22.7', '1.725', ''
2011, 5, 25, '23.095833', '31.3', '22.1', '2.029167', ''
2011, 5, 26, '23.670833', '31', '23', '1.620833', ''
2011, 5, 27, '23.275', '31.5', '23.1', '2.070833', ''
2011, 5, 28, '22.729167', '32.6', '21.9', '1.858333', ''
2011, 5, 29, '22.725', '32.7', '22.4', '2.1125', ''
2011, 5, 30, '22.929167', '31.8', '22.8', '2.508333', ''
2011, 5, 31, '22.558333', '32.5', '22.2', '2.241667', ''
2011, 6, 1, '21.841667', '31.7', '22.1', '1.995833', ''
2011, 6, 2, '22.3', '30.5', '22.1', '1.420833', ''
2011, 6, 3, '22.920833', '31.3', '23.1', '1.625', ''
2011, 6, 4, '22.5625', '29', '22.6', '1.425', ''
2011, 6, 5, '21.870833', '31.9', '20.3', '1.125', ''
2011, 6, 6, '21.95', '33', '21.1', '1.3375', ''
2011, 6, 7, '22.033333', '31.2', '21.6', '1.633333', ''
2011, 6, 8, '22.508333', '31.5', '22.3', '1.8', ''
2011, 6, 9, '22.695833', '27.8', '22.1', '1.7', ''
2011, 6, 10, '22.941667', '32', '22.4', '1.970833', ''
2011, 6, 11, '22.675', '31.8', '22', '2.079167', ''
2011, 6, 12, '22.320833', '31.7', '20.6', '2.091667', ''
2011, 6, 13, '22.416667', '31.6', '21.5', '1.908333', ''
2011, 6, 14, '22.6', '31.1', '22.1', '1.691667', ''
2011, 6, 15, '22.05', '31.6', '21.2', '1.641667', ''
2011, 6, 16, '21.3125', '31.1', '20.4', '2.158333', ''
2011, 6, 17, '20.816667', '30', '20.2', '1.504167', ''
2011, 6, 18, '22.133333', '31.7', '21.5', '1.879167', ''
2011, 6, 19, '22.6', '32.8', '21.8', '1.5', ''
2011, 6, 20, '22.758333', '31.5', '22.1', '2.156522', ''
2011, 6, 21, '22.570833', '31.5', '22.1', '1.791667', ''
2011, 6, 22, '22.0125', '31.7', '20.5', '1.558333', ''
2011, 6, 23, '22.058333', '31.4', '21.2', '1.720833', ''
2011, 6, 24, '22.375', '30.9', '21.5', '2.108333', ''
2011, 6, 25, '21.8375', '30.8', '20.7', '2.079167', ''
2011, 6, 26, '22.195833', '31.2', '20.4', '1.3875', ''
2011, 6, 27, '22.05', '31.6', '21', '1.5875', ''
2011, 6, 28, '22.179167', '31.7', '21.9', '2.2875', ''
2011, 6, 29, '22.079167', '30.2', '22.1', '1.795833', ''
2011, 6, 30, '21.758333', '30.5', '20.2', '1.483333', ''
