Nome: VICOSA
Codigo Estacao: A510
Latitude: -20.762607
Longitude: -42.864013
Altitude: 697.64
Situacao: Operante
Data Inicial: 2005-09-14
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2005-09-14;null;null;null;null;null;null;null;null;null;null;
2005-09-15;null;null;null;null;null;null;null;50;4.8;null;
2005-09-16;null;939.45;14.731818;29.4;21.377273;null;68.272727;40;7.1;1.413636;
2005-09-17;null;938.22;16.345;27.5;null;16.8;72.65;49;5.3;.97;
2005-09-18;2;939.513043;16.043478;21;18.308696;17;86.782609;79;3.8;.604348;
2005-09-19;.4;938.354545;15.395455;21.2;18.309091;16.3;83.272727;72;10.2;1.663636;
2005-09-20;.2;934.708696;15.982609;28.3;20.978261;16.6;74.347826;50;7.3;2.008696;
2005-09-21;null;934.9;11.557143;26.1;null;15.1;61.333333;36;7.1;1.461905;
2005-09-22;0;935.782609;12.521739;26.8;18.917391;13.8;68.869565;38;5.4;.817391;
2005-09-23;0;935.752174;14.182609;24.2;19.1;15.8;74.391304;51;9.3;1.521739;
2005-09-24;.8;935.095455;15.036364;26.3;19.827273;15.5;75.727273;50;7.3;1.213636;
2005-09-25;0;934.526087;16.134783;27.5;21.36087;17.1;73.565217;50;10.8;2.195652;
2005-09-26;48.2;936.770833;15.7875;21;17.85;17;88;71;16.9;1.3625;
2005-09-27;8.2;940.921739;12.408696;15.5;14.33913;13.7;88.130435;83;3.9;.830435;
2005-09-28;3.4;942.2625;10.733333;15.1;13.504167;12.3;83.583333;71;5.5;.7375;
2005-09-29;0;940.926087;10.430435;19.6;15.017391;12.1;75.130435;53;5.4;.73913;
2005-09-30;0;939.2875;9.933333;23.4;15.883333;10.9;69.958333;35;5.4;.945833;
2005-10-01;0;938.163636;11.109091;24.7;16.031818;11.1;75;38;8;.927273;
2005-10-02;0;937.520833;12.4625;23.1;17.395833;12.8;74.416667;49;5.2;.675;
2005-10-03;0;937.681818;12.277273;23.5;17.418182;14.9;73.363636;44;4.5;.727273;
2005-10-04;0;935.995833;13.2;23.6;18.0125;13.9;75.041667;49;9.4;1.704167;
2005-10-05;null;null;null;23.9;null;15.7;72.125;56;10.1;null;
2005-10-06;null;938.095455;15.722727;27.4;20.559091;15.9;75.818182;48;8.7;1.340909;
2005-10-07;null;940.222222;14.922222;24.8;null;17.3;71.944444;42;5.8;1.005556;
2005-10-08;0;940.404167;11.345833;25.5;18.6375;13.1;67.333333;32;7.9;1.1875;
2005-10-09;0;938.318182;11.095455;25.7;17.631818;11.4;69.636364;33;8.2;1.286364;
2005-10-10;0;937.042857;11.809524;25.3;null;11.5;70.47619;42;6.5;1.128571;
2005-10-11;null;936.26087;12.347826;26.3;18.647826;13;70.347826;39;8.5;1.156522;
2005-10-12;0;936.1;11.517391;26.8;18.204348;11.8;69.086957;30;8.6;1.230435;
2005-10-13;0;935.766667;11.7125;27;18.720833;11.7;67.5;33;8.7;1.395833;
2005-10-14;0;934.691667;12.9875;28.6;19.9375;12.9;66.875;34;10.5;1.954167;
2005-10-15;0;935.1;13.718182;31.3;22.381818;15.7;62.045455;27;9.2;.8;
2005-10-16;null;936.242857;15.1;28.8;null;17.8;65.238095;39;8.6;1.72381;
2005-10-17;0;934.5;12.827273;29.8;22.227273;16;58.409091;29;9.8;1.822727;
2005-10-18;0;932.990476;11.871429;32.3;null;15.5;52.47619;26;8.3;1.3;
2005-10-19;0;939.016667;15.479167;21.8;18.15;17.5;84.5;73;6.9;.820833;
2005-10-20;.4;938.678261;14.326087;26.4;20.047826;15.5;72.347826;42;8.8;1.204348;
