Nome: DORES DO INDAIA
Codigo Estacao: A536
Latitude: -19.481935
Longitude: -45.593932
Altitude: 721.09
Situacao: Operante
Data Inicial: 2007-05-31
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-05-31;null;null;null;null;null;null;null;null;null;null;
2007-06-01;null;null;null;null;null;null;null;45;6.1;null;
2007-06-02;null;933.73913;13.908696;28.8;21.743478;13.7;64.434783;37;7.9;2.630435;
2007-06-03;.2;933.575;16.145833;26.5;20.8625;17.7;74.916667;49;12.7;2.8875;
2007-06-04;2;935.666667;9.129167;22.4;17.4;11.6;63.333333;29;7.7;2.466667;
2007-06-05;0;935.879167;8.55;24.8;16.229167;8;62.666667;37;8.5;1.641667;
2007-06-06;0;935.495833;9.95;26.1;18.216667;11;61.208333;31;5.8;1.775;
2007-06-07;0;935.4;9.604348;27.3;18.995652;11.8;57.869565;30;6.1;1.713043;
2007-06-08;0;935.445833;11.179167;27.3;20.333333;13;58;34;5.8;1.420833;
2007-06-09;0;935.879167;11.941667;27;20.145833;13.9;62.208333;35;8;2.0875;
2007-06-10;0;936.156522;11.478261;26.3;20.186957;13.4;60.086957;33;6.3;1.552174;
2007-06-11;null;935.7;11.416667;26.7;null;12.2;55.777778;37;7.9;1.933333;
2007-06-12;0;936.070833;10.5375;26.7;19.695833;11.7;58.583333;28;5.6;1.408333;
2007-06-13;0;934.804167;11.441667;27.5;19.658333;11.9;61.291667;35;8.3;2.029167;
2007-06-14;0;934.3125;12.504167;28.3;20.625;12.8;62.458333;35;5.2;1.525;
2007-06-15;0;934.379167;12.9125;28.9;21.004167;14;62.833333;32;6.6;1.720833;
2007-06-16;0;935.841667;12.029167;28.3;21.25;13.6;58.5;29;6.4;1.645833;
2007-06-17;0;936.383333;10.995833;27.5;20.816667;13.4;56.666667;29;6;1.733333;
2007-06-18;0;937.716667;11.629167;27;20.183333;13.8;61.083333;35;7.1;1.870833;
2007-06-19;0;938.008333;10.858333;26.4;19.5125;13.3;60.25;32;10.6;2.391667;
2007-06-20;0;938.883333;9.966667;25.1;18.658333;11.6;59.333333;33;10.1;2.841667;
2007-06-21;0;939.141667;11.270833;26.4;19.404167;14;61.708333;35;9.4;2.4;
2007-06-22;0;937.725;10.9125;25.7;19.1;13.3;61.5;33;10.6;2.85;
2007-06-23;0;935.475;10.7875;25.4;18.620833;12.4;62.375;37;8.8;1.55;
2007-06-24;0;936.45;11.258333;27.5;19.304167;12.3;63;32;4.9;1.391667;
2007-06-25;0;938.504167;11.558333;26.1;19.05;13.2;64.083333;36;9;2.870833;
2007-06-26;0;939.125;11.695833;26.5;19.275;13.3;63.958333;36;12.3;1.975;
2007-06-27;0;938.1125;12.025;25.6;19.241667;12.6;65.75;38;8;1.558333;
2007-06-28;0;936.65;11.029167;26.8;19.675;12.6;60.5;34;5.2;1.3;
2007-06-29;0;937.333333;10.483333;27.4;20.666667;12.9;54.833333;30;5.7;1.3625;
2007-06-30;0;938.058333;11.370833;26.4;20.545833;14.8;57.166667;36;5.2;1.3625;
2007-07-01;0;939.3625;10.275;26.7;19.966667;13.8;57.833333;29;6.2;1.629167;
2007-07-02;0;939.483333;9.291667;26.6;19.308333;13.1;55.208333;31;6.3;1.729167;
2007-07-03;0;938.4;9.116667;25.8;19.233333;12.1;55.208333;28;7.4;1.4875;
2007-07-04;0;938.404167;11.116667;25.5;19.316667;13.3;60.666667;37;7.5;1.470833;
2007-07-05;0;938.95;12.041667;26.2;19.45;13.7;64.583333;38;7.7;2.1875;
2007-07-06;0;937.929167;12.229167;26;19.983333;14.4;63;38;10.5;1.845833;
2007-07-07;0;936.508333;10.066667;25.5;19.479167;14.3;57.083333;31;8.7;2.291667;
2007-07-08;0;935.808333;8.866667;26.8;19.4625;12.3;52.708333;30;7.4;1.641667;
2007-07-09;0;936.4125;10.6875;27.2;20.070833;13.1;56.75;35;8.6;2.15;
2007-07-10;0;935.041667;11.141667;27.4;20.241667;14.4;59.083333;30;8.7;2.133333;
2007-07-11;0;934.8125;10.4375;27.7;20.841667;13.3;53.916667;30;6.3;1.433333;
2007-07-12;0;936.3375;10.2125;26.6;19.825;13.4;56.416667;31;9.1;2.529167;
2007-07-13;0;937.154167;8.866667;25.9;19.295833;12.5;53.75;28;8.4;2.25;
2007-07-14;0;935.666667;8.420833;26.2;19.341667;11.4;51.541667;29;6.7;1.766667;
2007-07-15;0;933.904167;9.329167;28.5;20.495833;12.1;51.833333;27;5.3;1.4;
2007-07-16;0;932.825;9.979167;29.2;21.379167;12.7;51.25;22;9;2.2;
2007-07-17;0;933.4375;11.908333;27.4;19.875;13.6;62.875;36;8.3;3.291667;
2007-07-18;0;932.116667;13.283333;25.5;20.216667;14.9;66.208333;45;12.4;2.341667;
