['1961', '1', '2', '20', '10.6', '84', '23.8', '55', '18.8', '20', '14.7', '86', '25.7', '51', '19.7', '20', '39', '86', '24.7', '51', '19.1']
['1961', '1', '3', '20', '36.1', '84', '24.7', '55', '18.7', '20', '25.3', '86', '26.5', '51', '19.9', '20', '36.8', '86', '25.4', '51', '19.3']
['1961', '1', '4', '20', '38.1', '84', '21.4', '55', '18.8', '20', '10.8', '86', '26.5', '51', '19.9', '20', '21.7', '86', '23.4', '51', '19.5']
['1961', '1', '5', '20', '67.1', '84', '22.4', '55', '18.4', '20', '67.7', '86', '24.1', '51', '19.5', '20', '64.2', '86', '23.5', '51', '19.2']
['1961', '1', '6', '20', '7.2', '84', '25.6', '55', '18.4', '20', '16.2', '86', '26.8', '51', '19.3', '20', '10.7', '86', '27.1', '51', '19.1']
['1961', '1', '7', '20', '17.9', '84', '27.3', '55', '18.6', '20', '16.9', '86', '27.7', '51', '20.2', '20', '8', '86', '27.5', '51', '19.3']
['1961', '1', '8', '20', '.5', '84', '24.2', '55', '19.9', '20', '1.8', '86', '24', '51', '20.3', '20', '4.7', '86', '24.8', '51', '19.9']
['1961', '1', '9', '20', '22.8', '84', '27.6', '55', '19.2', '20', '10.4', '86', '28.7', '51', '19.6', '20', '17.6', '86', '27.9', '51', '19.1']
['1961', '1', '10', '20', '35.6', '84', '26', '55', '19', '20', '1.4', '86', '26.1', '51', '20.8', '20', '15.1', '86', '25.8', '51', '19.4']
['1961', '1', '11', '20', '79.8', '84', '28.2', '55', '17.4', '20', '55.9', '86', '26.7', '51', '18.6', '20', '56', '86', '26.4', '51', '17.9']
['1961', '1', '12', '20', '14.1', '84', '20.9', '55', '18', '20', '10.3', '86', '21.6', '51', '19.2', '20', '11.1', '86', '20.7', '51', '18.7']
['1961', '1', '13', '20', '6.5', '84', '23.8', '55', '17.1', '20', '11.8', '86', '23.3', '51', '17.3', '20', '10.4', '86', '23.5', '51', '18']
['1961', '1', '14', '20', '6.4', '84', '26.6', '55', '17.2', '20', '0', '86', '28.2', '51', '17.2', '20', '13.4', '86', '26.9', '51', '16.6']
['1961', '1', '15', '20', '9.2', '84', '25.8', '55', '16.4', '20', '14.5', '86', '29.4', '51', '16.7', '20', '9.6', '86', '25', '51', '16.4']
['1961', '1', '16', '20', '.6', '84', '27.2', '55', '17.4', '20', '7.6', '86', '27', '51', '15.2', '20', '1.4', '86', '25.9', '51', '16.8']
['1961', '1', '17', '20', '6.2', '84', '31', '55', '18.3', '20', '17.6', '86', '31', '51', '15.8', '20', '14.4', '86', '30.5', '51', '16.5']
['1961', '1', '18', '20', '0', '84', '31.4', '55', '18.7', '20', '0', '86', '31.7', '51', '15.7', '20', '0', '86', '31.1', '51', '16.1']
['1961', '1', '19', '20', '0', '84', '27.8', '55', '19.8', '20', '0', '86', '28.5', '51', '17.3', '20', '0', '86', '26', '51', '18.7']
['1961', '1', '21', '20', '41', '84', '29', '55', '18', '20', '25.8', '86', '29', '51', '19.3', '20', '65.1', '86', '28.1', '51', '17.6']
['1961', '1', '22', '20', '1.2', '84', '27', '55', '17', '20', '0', '86', '29', '51', '16.3', '20', '0', '86', '26.8', '51', '15.8']
['1961', '1', '23', '20', '.2', '84', '28.8', '55', '18.6', '20', '0', '86', '30', '51', '16.8', '20', '2.1', '86', '28.8', '51', '17']
['1961', '1', '24', '20', '19.6', '84', '27.8', '55', '19', '20', '16.2', '86', '28.3', '51', '19.1', '20', '4.4', '86', '25.2', '51', '19.8']
['1961', '1', '25', '20', '6', '84', '26.4', '55', '18.4', '20', '10', '86', '25.3', '51', '19.1', '20', '11.7', '86', '26', '51', '17.1']
['1961', '1', '26', '20', '63.6', '84', '21.2', '55', '18.8', '20', '57.6', '86', '24.6', '51', '18.9', '20', '45', '86', '22.2', '51', '18.9']
['1961', '1', '27', '20', '75', '84', '23', '55', '17.2', '20', '59.1', '86', '22.1', '51', '18', '20', '81.8', '86', '22.8', '51', '17.6']
['1961', '1', '28', '20', '12.9', '84', '23.4', '55', '17', '20', '17.5', '86', '25.2', '51', '17.7', '20', '13.4', '86', '23.5', '51', '17.6']
['1961', '1', '29', '20', '15.6', '84', '24.8', '55', '19', '20', '11.5', '86', '26.2', '51', '20.3', '20', '17.8', '86', '26.4', '51', '18.9']
['1961', '1', '30', '20', '8.8', '84', '26.7', '55', '18', '20', '7.6', '86', '27', '51', '18.2', '20', '17.4', '86', '26.3', '51', '17.6']
['1961', '1', '31', '20', '3.1', '84', '28.8', '55', '19.4', '20', '.4', '86', '28.6', '51', '19.7', '20', '1.5', '86', '28.2', '51', '19.5']
['1961', '2', '1', '21', '8', '86', '30.2', '57', '18.8', '20', '10.6', '89', '31.3', '52', '18', '20', '32.3', '88', '29.6', '52', '18.7']
['1961', '2', '2', '21', '8.4', '86', '30.8', '57', '19.3', '20', '0', '89', '30.7', '52', '17.6', '20', '5.7', '88', '30.5', '52', '17.6']
['1961', '2', '3', '21', '.4', '86', '30.2', '57', '20', '20', '1.9', '89', '31.7', '52', '17.2', '20', '0', '88', '30.7', '52', '17.6']
['1961', '2', '4', '21', '0', '86', '30.7', '57', '19.6', '20', '18.1', '89', '30.3', '52', '17.5', '20', '0', '88', '29.4', '52', '18']
['1961', '2', '5', '21', '0', '86', '30.4', '57', '19.4', '20', '0', '89', '31.4', '52', '18.7', '20', '0', '88', '29.6', '52', '20.1']
['1961', '2', '6', '21', '0', '86', '32', '57', '19.2', '20', '0', '89', '31.8', '52', '16.5', '20', '0', '88', '31.9', '52', '16.1']
['1961', '2', '7', '21', '0', '86', '31', '57', '19.1', '20', '0', '89', '32.5', '52', '16.5', '20', '0', '88', '32', '52', '16.8']
['1961', '2', '8', '21', '0', '86', '31.7', '57', '18.6', '20', '0', '89', '32.4', '52', '18.3', '20', '0', '88', '31.7', '52', '16.4']
['1961', '2', '9', '21', '.6', '86', '30.2', '57', '20.4', '20', '6.8', '89', '30.9', '52', '19.3', '20', '.8', '88', '28.8', '52', '18.7']
['1961', '2', '10', '21', '0', '86', '28.3', '57', '20', '20', '13.2', '89', '30.1', '52', '17.5', '20', '4', '88', '28.2', '52', '17.6']
['1961', '2', '11', '21', '0', '86', '27.5', '57', '20.1', '20', '7.2', '89', '29', '52', '19.3', '20', '8.1', '88', '27.8', '52', '18.7']
['1961', '2', '12', '21', '30.7', '86', '24.6', '57', '17.9', '20', '13.8', '89', '26.4', '52', '19.4', '20', '50.9', '88', '27.6', '52', '19.1']
['1961', '2', '13', '21', '46', '86', '26.3', '57', '18.8', '20', '44.6', '89', '26.3', '52', '19.3', '20', '32.8', '88', '26.5', '52', '19.1']
['1961', '2', '14', '21', '37.2', '86', '23.6', '57', '17.3', '20', '19.3', '89', '26.4', '52', '17', '20', '19.7', '88', '23.4', '52', '18.2']
['1961', '2', '15', '21', '75.5', '86', '19.9', '57', '16.1', '20', '53', '89', '20.2', '52', '17', '20', '135.2', '88', '20.8', '52', '17.9']
['1961', '2', '16', '21', '4.8', '86', '27', '57', '17.7', '20', '9', '89', '27.6', '52', '16.8', '20', '3.3', '88', '27.2', '52', '17.4']
['1961', '2', '17', '21', '0', '86', '27.2', '57', '18.2', '20', '0', '89', '27.6', '52', '17.7', '20', '0', '88', '26.2', '52', '17.7']
['1961', '2', '18', '21', '0', '86', '27.4', '57', '17.8', '20', '0', '89', '27.6', '52', '16.5', '20', '0', '88', '27.3', '52', '16.6']
['1961', '2', '19', '21', '0', '86', '28.5', '57', '19', '20', '0', '89', '27', '52', '18.5', '20', '0', '88', '28.4', '52', '18.2']
['1961', '2', '20', '21', '11.2', '86', '23.9', '57', '18.4', '20', '8.1', '89', '24.5', '52', '17.6', '20', '19.5', '88', '27.1', '52', '18.2']
['1961', '2', '21', '21', '4', '86', '28.9', '57', '19', '20', '3.9', '89', '27.1', '52', '18', '20', '8.5', '88', '27.1', '52', '18']
['1961', '2', '22', '21', '.2', '86', '28', '57', '18.7', '20', '10.5', '89', '27.3', '52', '16.7', '20', '.3', '88', '27.6', '52', '16.8']
['1961', '2', '23', '21', '0', '86', '28.1', '57', '19.7', '20', '0', '89', '27.2', '52', '17.8', '20', '0', '88', '27.4', '52', '19']
['1961', '2', '24', '21', '9.7', '86', '29.8', '57', '19.8', '20', '0', '89', '30.5', '52', '19.3', '20', '3.7', '88', '27.7', '52', '18.7']
['1961', '2', '25', '21', '0', '86', '29.9', '57', '19.4', '20', '0', '89', '29.9', '52', '17.2', '20', '0', '88', '28.7', '52', '17']
['1961', '2', '26', '21', '.8', '86', '29.5', '57', '19.3', '20', '0', '89', '29', '52', '17.7', '20', '1', '88', '29.4', '52', '17.3']
['1961', '2', '27', '21', '0', '86', '29.1', '57', '18.4', '20', '0', '89', '29.8', '52', '15.9', '20', '0', '88', '29.4', '52', '16.1']
['1961', '2', '28', '21', '0', '86', '29.5', '57', '20', '20', '0', '89', '30.1', '52', '17.1', '20', '0', '88', '29.2', '52', '17.4']
['1961', '3', '1', '20', '2.6', '84', '28.7', '55', '19.2', '20', '0', '86', '29.3', '51', '17.5', '20', '0', '86', '29.3', '51', '17.3']
['1961', '3', '2', '20', '2.8', '84', '27.2', '55', '18.9', '20', '1.4', '86', '27.8', '51', '18.5', '20', '7.7', '86', '26', '51', '18.4']
['1961', '3', '3', '20', '.6', '84', '27.8', '55', '18.6', '20', '0', '86', '29.8', '51', '17.8', '20', '2.1', '86', '29.3', '51', '18.3']
['1961', '3', '4', '20', '0', '84', '29.9', '55', '19.2', '20', '0', '86', '29', '51', '18.2', '20', '0', '86', '29.3', '51', '17.5']
['1961', '3', '5', '20', '6.2', '84', '30.8', '55', '19.5', '20', '0', '86', '30.1', '51', '20', '20', '18', '86', '29.6', '51', '19.5']
['1961', '3', '6', '20', '25', '84', '27.7', '55', '18.2', '20', '28.7', '86', '28.7', '51', '19.1', '20', '16.2', '86', '28', '51', '18']
['1961', '3', '7', '20', '0', '84', '27.5', '55', '18.5', '20', '1.3', '86', '28', '51', '18.1', '20', '2.6', '86', '27.2', '51', '19']
['1961', '3', '8', '20', '56.8', '84', '25.7', '55', '18', '20', '18.5', '86', '25.6', '51', '18.8', '20', '31.8', '86', '27.4', '51', '17.2']
['1961', '3', '9', '20', '1', '84', '30.8', '55', '19.4', '20', '.2', '86', '30.1', '51', '19.8', '20', '2.3', '86', '29.6', '51', '18.6']
['1961', '3', '10', '20', '3', '84', '31.5', '55', '20.2', '20', '0', '86', '31.3', '51', '19.5', '20', '0', '86', '30.7', '51', '20.2']
['1961', '3', '11', '20', '6.1', '84', '29.8', '55', '21.2', '20', '0', '86', '30.1', '51', '20.6', '20', '0', '86', '29.4', '51', '19.3']
['1961', '3', '12', '20', '0', '84', '30.8', '55', '21', '20', '0', '86', '31.5', '51', '19.3', '20', '0', '86', '30.8', '51', '19.7']
['1961', '3', '13', '20', '71.4', '84', '31.1', '55', '18.2', '20', '0', '86', '30.7', '51', '19.2', '20', '12.2', '86', '29.2', '51', '20.1']
['1961', '3', '14', '20', '0', '84', '30.7', '55', '19.9', '20', '0', '86', '30.7', '51', '19.2', '20', '0', '86', '29.3', '51', '18.7']
['1961', '3', '15', '20', '2', '84', '29.6', '55', '19.8', '20', '8', '86', '30', '51', '20.5', '20', '0', '86', '29.4', '51', '18.6']
['1961', '3', '16', '20', '.8', '84', '29.2', '55', '18.3', '20', '0', '86', '30.2', '51', '19', '20', '5.7', '86', '29.1', '51', '19']
['1961', '3', '17', '20', '0', '84', '30.2', '55', '20.6', '20', '0', '86', '31.4', '51', '17.8', '20', '0', '86', '30.6', '51', '18.5']
['1961', '3', '18', '20', '.4', '84', '29.2', '55', '20.2', '20', '0', '86', '30', '51', '17.3', '20', '0', '86', '28.4', '51', '18.3']
['1961', '3', '19', '20', '0', '84', '29', '55', '17.6', '20', '0', '86', '29.2', '51', '17.8', '20', '27.3', '86', '28.2', '51', '18.8']
['1961', '3', '20', '20', '3', '84', '29.6', '55', '18.6', '20', '0', '86', '29.5', '51', '17.1', '20', '6.9', '86', '29.1', '51', '16.3']
['1961', '3', '21', '20', '0', '84', '29.4', '55', '19.6', '20', '0', '86', '30', '51', '16.1', '20', '0', '86', '29', '51', '16.3']
['1961', '3', '22', '20', '0', '84', '29.1', '55', '18.2', '20', '0', '86', '29.5', '51', '14.7', '20', '0', '86', '28.9', '51', '15.5']
['1961', '3', '23', '20', '0', '84', '27.8', '55', '18.8', '20', '0', '86', '29.9', '51', '15.1', '20', '0', '86', '28.1', '51', '15.2']
['1961', '3', '24', '20', '0', '84', '26.8', '55', '17', '20', '0', '86', '28.5', '51', '13.2', '20', '0', '86', '27.4', '51', '13.7']
['1961', '3', '25', '20', '0', '84', '27.6', '55', '17.8', '20', '0', '86', '29.6', '51', '14', '20', '0', '86', '27.8', '51', '15.4']
['1961', '3', '26', '20', '0', '84', '29.4', '55', '17.6', '20', '0', '86', '30', '51', '13.9', '20', '0', '86', '28.2', '51', '16']
['1961', '3', '27', '20', '11', '84', '27.2', '55', '19.4', '20', '1', '86', '29', '51', '17.5', '20', '.9', '86', '27.1', '51', '17.8']
['1961', '3', '28', '20', '0', '84', '25', '55', '16', '20', '0', '86', '25.6', '51', '14.7', '20', '0', '86', '24.8', '51', '16.9']
['1961', '3', '29', '20', '0', '84', '22.8', '55', '13.8', '20', '0', '86', '24.6', '51', '11', '20', '0', '86', '23.2', '51', '12.2']
['1961', '3', '30', '20', '0', '84', '25.8', '55', '12.8', '20', '0', '86', '26.5', '51', '9.3', '20', '0', '86', '25.3', '51', '13.2']
['1961', '3', '31', '20', '0', '84', '24.3', '55', '14.8', '20', '0', '86', '26.7', '51', '10.5', '20', '0', '86', '24.3', '51', '12.3']
['1962', '1', '1', '20', '2.1', '84', '28.4', '55', '17.8', '20', '0', '86', '29.8', '51', '15.7', '20', '3.7', '86', '28.4', '51', '14.7']
['1962', '1', '2', '20', '0', '84', '29.8', '55', '18.6', '20', '0', '86', '29.4', '51', '17.3', '20', '0', '86', '29.2', '51', '19.2']
['1962', '1', '3', '20', '1.4', '84', '28.4', '55', '20.4', '20', '1.9', '86', '27.6', '51', '19.4', '20', '0', '86', '29.3', '51', '19.1']
['1962', '1', '4', '20', '35.1', '84', '25.5', '55', '18.8', '20', '58.6', '86', '25.8', '51', '18.7', '20', '29.9', '86', '26.4', '51', '16.9']
['1962', '1', '5', '20', '65.6', '84', '26.3', '55', '18.6', '20', '10.1', '86', '27.8', '51', '17.7', '20', '43.1', '86', '25.8', '51', '16.7']
['1962', '1', '6', '20', '25.2', '84', '29.4', '55', '19.4', '20', '14.2', '86', '28.9', '51', '18', '20', '41.6', '86', '29.7', '51', '18.2']
['1962', '1', '7', '20', '17.2', '84', '27.6', '55', '18.7', '20', '29.1', '86', '26.2', '51', '20', '20', '6.9', '86', '27.6', '51', '19.2']
['1962', '1', '8', '20', '0', '84', '26.6', '55', '20', '20', '.1', '86', '27.1', '51', '19.2', '20', '0', '86', '27', '51', '19.6']
['1962', '1', '9', '20', '5.6', '84', '25.6', '55', '19', '20', '12.6', '86', '27.2', '51', '18.4', '20', '1.9', '86', '26.6', '51', '18.2']
['1962', '1', '10', '20', '14', '84', '23.5', '55', '18.4', '20', '52.8', '86', '24.7', '51', '18.5', '20', '28', '86', '24.6', '51', '18.4']
['1962', '1', '11', '20', '124.9', '84', '23', '55', '17.8', '20', '49.4', '86', '28.1', '51', '18.4', '20', '23.5', '86', '24', '51', '18.3']
['1962', '1', '12', '20', '3', '84', '28.2', '55', '17.8', '20', '.4', '86', '30.7', '51', '18.9', '20', '0', '86', '29.4', '51', '17.3']
['1962', '1', '13', '20', '10.6', '84', '31.6', '55', '19', '20', '28.5', '86', '31.5', '51', '18', '20', '.5', '86', '31.6', '51', '18.2']
['1962', '1', '14', '20', '40.6', '84', '29', '55', '19.4', '20', '0', '86', '29.2', '51', '18.9', '20', '0', '86', '27.8', '51', '18']
['1962', '1', '15', '20', '6.8', '84', '28.9', '55', '20.4', '20', '1.7', '86', '29.4', '51', '20.9', '20', '2.2', '86', '27.6', '51', '20.3']
['1962', '1', '16', '20', '39.8', '84', '29', '55', '19.4', '20', '2.7', '86', '29.1', '51', '20.6', '20', '18.1', '86', '27.8', '51', '20.2']
['1962', '1', '17', '20', '0', '84', '29.8', '55', '20', '20', '27.9', '86', '27.8', '51', '19.3', '20', '.1', '86', '28.4', '51', '19.5']
['1962', '1', '18', '20', '5.3', '84', '25.8', '55', '19', '20', '6.9', '86', '27.3', '51', '18.8', '20', '2.3', '86', '26.2', '51', '18.2']
['1962', '1', '19', '20', '6', '84', '29.4', '55', '18.8', '20', '12.3', '86', '30.6', '51', '18.8', '20', '11.1', '86', '28.6', '51', '18.3']
['1962', '1', '20', '20', '0', '84', '29.4', '55', '18.8', '20', '2', '86', '27.2', '51', '18.8', '20', '0', '86', '30.2', '51', '18.6']
['1962', '1', '21', '20', '10.4', '84', '27.8', '55', '17.9', '20', '6', '86', '28.6', '51', '17.9', '20', '37.2', '86', '28.4', '51', '17.8']
['1962', '1', '22', '20', '54.4', '84', '28.3', '55', '17.6', '20', '8.2', '86', '29.4', '51', '18.6', '20', '18.1', '86', '26.9', '51', '18.4']
['1962', '1', '23', '20', '34.2', '84', '27.6', '55', '18.6', '20', '17.5', '86', '30.2', '51', '20', '20', '79.2', '86', '28', '51', '18.9']
['1962', '1', '24', '20', '.4', '84', '26.8', '55', '19.4', '20', '0', '86', '29.9', '51', '18.8', '20', '4.1', '86', '27.7', '51', '18.7']
['1962', '1', '25', '20', '11.6', '84', '29.6', '55', '19.2', '20', '10', '86', '30.8', '51', '20.3', '20', '10.5', '86', '29.9', '51', '20.1']
['1962', '1', '26', '20', '27.4', '84', '28', '55', '18.8', '20', '34.9', '86', '29', '51', '19', '20', '20.2', '86', '28.2', '51', '18.6']
['1962', '1', '27', '20', '19', '84', '26.8', '55', '18.6', '20', '12.8', '86', '28.6', '51', '19', '20', '23.5', '86', '27.1', '51', '18.5']
['1962', '1', '28', '20', '14', '84', '28.3', '55', '19', '20', '20.8', '86', '29.1', '51', '19.3', '20', '11.4', '86', '28.7', '51', '19']
['1962', '1', '29', '20', '.2', '84', '26.8', '55', '19.2', '20', '.7', '86', '29.2', '51', '19.2', '20', '.2', '86', '27.6', '51', '19.1']
['1962', '1', '30', '20', '25.7', '84', '28.5', '55', '17.2', '20', '5.4', '86', '29.8', '51', '17.2', '20', '44.2', '86', '29.3', '51', '17.9']
['1962', '1', '31', '20', '29.5', '84', '27.2', '55', '17.1', '20', '1.3', '86', '28.4', '51', '16.3', '20', '12.4', '86', '28.6', '51', '16.3']
['1962', '2', '1', '21', '0', '86', '28.2', '57', '18.5', '20', '0', '89', '28.5', '52', '16.1', '20', '0', '88', '29.2', '52', '16.4']
['1962', '2', '2', '21', '.8', '86', '26', '57', '19', '20', '1.3', '89', '24.5', '52', '19', '20', '4.6', '88', '26.8', '52', '18.6']
['1962', '2', '3', '21', '.8', '86', '27.8', '57', '17.6', '20', '5.4', '89', '28.4', '52', '16.1', '20', '9.1', '88', '27.6', '52', '15.8']
['1962', '2', '4', '21', '0', '86', '26.4', '57', '19', '20', '0', '89', '27.7', '52', '17.7', '20', '0', '88', '26.3', '52', '17.9']
['1962', '2', '5', '21', '65', '86', '24.8', '57', '20', '20', '7.3', '89', '25.1', '52', '19.5', '20', '16.1', '88', '25', '52', '19.2']
['1962', '2', '6', '21', '14.2', '86', '25', '57', '18.8', '20', '9.2', '89', '26.1', '52', '19.6', '20', '6', '88', '26.1', '52', '19']
['1962', '2', '7', '21', '70.4', '86', '26.2', '57', '18.2', '20', '30.6', '89', '27.2', '52', '18.9', '20', '38.2', '88', '26.7', '52', '18.4']
